id,smiles
ord-64836a6fca744252ac2345f2b4e4762d_0,Oc1ccc(Oc2ccccc2)cc1
ord-81448799139447a985ca454877c95d87_1,CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
ord-daf4ba5367694338ab2591f41b1c75e1_0,CC(C)(C)CN1C(=O)[C@@H](CC(=O)O)O[C@H](c2ccccc2Cl)c2cc(Cl)ccc21
ord-47a428a9721e4a74a1f659ae73f83499_0,Cc1cccc(N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)C(=O)c2ccc(N)cc2)c1
ord-fbc0fc4f8a714c35aadd804f9ca4453c_4,ClC(Cl)Cl
ord-2dc98d8590054382bf5219d4a3442d75_0,N#CCc1c(Cl)cccc1Br
ord-5d66cdab1c794ab784689ff5a3d4e879_0,O=C(c1ccc([N+](=O)[O-])cc1Cl)N1CCc2cccn2-c2ccccc21
ord-b8a5aa9b39d74e0b898f76e9233cf62f_0,CC(C)(C)OC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)OC(C)(C)C
ord-bc81acde98bc4b1fabc531c70cdf4325_0,CC1=CCC2CC1C2(C)C
ord-f1ad471805684fc5b6ebc2d669085dc4_0,CC1C(=O)Nc2ccc(Br)cc21
ord-8b516180d4e44f6ab2a17607b71443c4_0,CC(=O)OC[C@H]1O[C@@H](Oc2n[nH]c(C)c2Cc2sccc2C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
ord-d5d48ccf9ccf43208e15e96550ba9523_0,COC(=O)CCCCN(CCc1ccccc1OCc1ccc(/C=C/c2ccccc2)cc1)Cc1ccc(C(=O)OC)cc1
ord-ff9a8d4fad55412297bdb1e95d7c1e2d_2,Clc1ccccc1C=[N+]1CCCCC1
ord-250bb15c7a244c6db29dddc3306f653d_0,CCCCC/C=C\CCCO
ord-176e1dc368da4bdc88c934844ede6c9f_0,CCOC(=O)C(N)Cc1cc(Cl)ccc1OCC(=O)N1C[C@H](C)N(Cc2ccc(F)cc2)C[C@H]1C
ord-78423b0ee2724e0eb24f94e6674e11e0_0,N#Cc1ccc(C(=O)O)c(F)c1
ord-2c6f8300a25b4e1abc55717cd57e132b_1,Cc1cn(CCCC(C)Cl)c(=O)[nH]c1=O
ord-128a683dc56a4a128028ba8b3f713edc_0,CC#CCOc1ncnc(Cl)c1F
ord-90ffda470dc94633a16fd2d0d257ee04_0,CCCc1nc2cc(N(Cc3ccccc3Cl)S(=O)(=O)c3ccc(F)cc3)ccc2n1CC(=O)OC(C)(C)C
ord-2b8d2960e6dd41e7909556bcefdecec1_0,CC(C)(C)[SiH2]OC(C)(C)C1CCC(CO)CC1
ord-6d08f09e04354710a17d0a32a3d6a5cd_0,CN(C(=O)OC(C)(C)C)C1CN(C(c2ccccc2)c2ccccc2)C1
ord-4bb18f1de9ad42f881952d824f68e301_1,Clc1cnccn1
ord-983251181e004aef93b38d02e17cf7f7_0,N#Cc1cccc(Cn2ccc([N+](=O)[O-])n2)c1
ord-fe7a62813244417eabf620c30a56b95d_1,c1ccc(C2CCNCC2)cc1
ord-34368fc06629473d81e732cee37088b2_0,CS(=O)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1C#N
ord-3548a6d834984527b7559eef29b5cab0_1,C[Si](C)(C)CCOCn1nc(Sc2ccccc2)c2cc(N)ccc21
